Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/9/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.3,54.5,212,591
1/10/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.5,53.3,527,1061
1/12/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4,51.3,480,881
13-01-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.5,35.3,429,823
15-01-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.5,60,659,951
21-01-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,41.8,284,659
24-01-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,12.8,50.8,446,798
27-01-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3,76.8,611,686
2/5/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,9.3,59.8,272,827
15-02-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,54,247,367
19-02-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,42,237,424
22-02-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.8,60.3,249,481
26-02-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,44,219,384
3/5/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,18.8,208,412
3/8/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,35.5,365,533
3/9/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,40.7,293,323
15-03-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,18.7,185,340
19-03-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,38,232,389
25-03-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,19.3,122,539
26-03-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,26,152,641
29-03-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,25.6,182,657
4/6/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.8,24.1,97,634
4/12/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4,34.5,486,690
15-04-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,5.3,44.6,454,612
16-04-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,37.2,357,576
30-04-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.3,32.5,162,497
5/3/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,28.2,249,479
5/6/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.3,22.8,231,409
5/7/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,30.5,128,311
5/12/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,28.3,133,413
15-05-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,34.8,326,981
18-05-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,28.5,150,513
24-05-07,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.8,39.2,330,754
